repost_id,create_time,create_date_time,retweeted_note_id,content,liked_count,comments_count,shared_count,last_modify_ts,note_url,ip_location,at_count,user_id,nickname,gender,profile_url,avatar,desc,follows,fans,statuses_count
5237766862406053,1764293196,2025-11-28 01:26:36+08:00,5237758266442267,//@BRY的鸟鸣:噗哈哈哈哈哈哈//@北美学术八卦博主:,0,0,0,1773636884411,https://m.weibo.cn/detail/5237766862406053,上海,2,7733872683,阿里斯底波-Aristippus,女,https://m.weibo.cn/u/7733872683?launchid=10000360-page_H5,"https://tvax2.sinaimg.cn/crop.0.0.1000.1000.180/008roxzZly8gy0u70t9lgj30rs0rsq59.jpg?KID=imgbed,tva&Expires=1773647684&ssig=FhcI%2FBqtDy",哈利卡纳苏斯的 Historia,802,9814,130229
5237766540757753,1764293119,2025-11-28 01:25:19+08:00,5237758266442267,噗哈哈哈哈哈哈//@北美学术八卦博主:,0,0,1,1773636884424,https://m.weibo.cn/detail/5237766540757753,北京,1,6462784518,BRY的鸟鸣,女,https://m.weibo.cn/u/6462784518?launchid=10000360-page_H5,"https://tvax3.sinaimg.cn/crop.0.0.667.667.180/0073nbtYly8i3dm5hubngj30ij0ij75r.jpg?KID=imgbed,tva&Expires=1773647684&ssig=P%2B2sLgVloW",fuck，邓多多的臀肉,114,267,14862
5237765714217114,1764292922,2025-11-28 01:22:02+08:00,5237758266442267,真是活久见了,0,0,0,1773636884434,https://m.weibo.cn/detail/5237765714217114,河南,0,3290073825,加文_Guo,男,https://m.weibo.cn/u/3290073825?launchid=10000360-page_H5,"https://tvax4.sinaimg.cn/crop.0.0.996.996.180/c41a8ae1ly8fkazm0syhuj20ro0roq45.jpg?KID=imgbed,tva&Expires=1773647684&ssig=kg6GlroRRB",天马行空，自由自在～,361,150,2125
5237764444651834,1764292619,2025-11-28 01:16:59+08:00,5237758266442267,,5,3,4,1773636884440,https://m.weibo.cn/detail/5237764444651834,美国,0,6470348556,北美学术八卦博主,女,https://m.weibo.cn/u/6470348556?launchid=10000360-page_H5,"https://tvax2.sinaimg.cn/crop.0.0.132.132.180/0073SVeAly8fpakp8fk36j303o03o744.jpg?KID=imgbed,tva&Expires=1773647684&ssig=dsYiR%2BIhQg",学术八卦集中营,400,1.3万,3439
5237762290614702,1764292106,2025-11-28 01:08:26+08:00,5237758266442267,转发微博,1,0,0,1773636884444,https://m.weibo.cn/detail/5237762290614702,美国,0,7037879187,北美三本小仙女一枚,女,https://m.weibo.cn/u/7037879187?launchid=10000360-page_H5,"https://tvax3.sinaimg.cn/crop.0.0.996.996.180/007GidSrly8gljgf4en7cj30ro0ro476.jpg?KID=imgbed,tva&Expires=1773647684&ssig=XwU7r9HsTD",归来仍是少女,405,2024,1809
5237761470629210,1764291910,2025-11-28 01:05:10+08:00,5237758266442267,Repost,0,0,0,1773636884451,https://m.weibo.cn/detail/5237761470629210,安徽,0,1961439875,BregmanDivergence,男,https://m.weibo.cn/u/1961439875?launchid=10000360-page_H5,"https://tvax1.sinaimg.cn/crop.0.0.1080.1080.180/74e93283ly8hlpij3z71oj20u00u0jzx.jpg?KID=imgbed,tva&Expires=1773647684&ssig=D%2Br2ydtEko",,518,77,651
5238977651019570,1764581870,2025-12-01 09:37:50+08:00,5237898580330277,//@卧猫岗的猫:呵呵了,0,0,0,1773636978352,https://m.weibo.cn/detail/5238977651019570,上海,1,7889671371,微微诺_,女,https://m.weibo.cn/u/7889671371?launchid=10000360-page_H5,"https://tvax4.sinaimg.cn/crop.0.0.512.512.180/008BWfW3ly8hm9t343uw2j30e80e83z7.jpg?KID=imgbed,tva&Expires=1773647778&ssig=lLyMWPErMu",,110,5,380
5238152977449793,1764385253,2025-11-29 03:00:53+08:00,5237898580330277,呵呵了,4,6,2,1773636978364,https://m.weibo.cn/detail/5238152977449793,美国,0,7888868912,卧猫岗的猫,女,https://m.weibo.cn/u/7888868912?launchid=10000360-page_H5,"https://tvax1.sinaimg.cn/crop.0.0.1080.1080.180/008BSTbaly8ianevt921lj30u00u0jy1.jpg?KID=imgbed,tva&Expires=1773647778&ssig=7iAEEgXq0C",Keep carrying the lantern. The paths it lights tend to lead exactly where people who chase spotlights eventually wish they’d gone.,165,2.2万,2168
5238100462670856,1764372732,2025-11-28 23:32:12+08:00,5237898580330277,转发微博,0,0,0,1773636978371,https://m.weibo.cn/detail/5238100462670856,上海,0,1704302703,_22du,男,https://m.weibo.cn/u/1704302703?launchid=10000360-page_H5,"https://tvax1.sinaimg.cn/crop.0.0.600.600.180/6595986fly8ho4s8w4sedj20go0go761.jpg?KID=imgbed,tva&Expires=1773647778&ssig=G%2BQMAlyMCl",attention is all I need,142,53,5394
5237973735179640,1764342518,2025-11-28 15:08:38+08:00,5237898580330277,微服务,0,0,0,1773636978377,https://m.weibo.cn/detail/5237973735179640,河南,0,1450305785,驭风的胖子,男,https://m.weibo.cn/u/1450305785?launchid=10000360-page_H5,"https://tva2.sinaimg.cn/crop.0.0.180.180.180/5671e8f9jw1e8qgp5bmzyj2050050aa8.jpg?KID=imgbed,tva&Expires=1773647778&ssig=6uJwWh6hnw",胖子的私有数据库 关注→ CST × Psychology × Art,1115,1364,108540
5237973320729221,1764342418,2025-11-28 15:06:58+08:00,5237898580330277,转发微博,0,0,0,1773636978383,https://m.weibo.cn/detail/5237973320729221,辽宁,0,3164138154,AI万物与边界,男,https://m.weibo.cn/u/3164138154?launchid=10000360-page_H5,"https://tvax1.sinaimg.cn/crop.0.0.300.300.180/bc98eaaaly8hyrtvgztzaj208c08cwf0.jpg?KID=imgbed,tva&Expires=1773647778&ssig=AgnlGfntfr",《5G时代如何把握5G这个超级风口》《人类AI复合体经济》作者原创设计发明下一代互联网3.0三大核心：AI代理，超级AI复合体，货币信息论。,2322,1万,107478
5237964890443105,1764340409,2025-11-28 14:33:29+08:00,5237898580330277,ICLR = I Can Locate Reviewer 哈哈哈哈哈哈哈哈,0,0,0,1773636978390,https://m.weibo.cn/detail/5237964890443105,日本,0,7909556718,Laika的新窝,男,https://m.weibo.cn/u/7909556718?launchid=10000360-page_H5,"https://tvax1.sinaimg.cn/crop.0.0.485.485.180/008DhH1sly8huidtomrtwj30dh0dhq3b.jpg?KID=imgbed,tva&Expires=1773647778&ssig=ZFOKMEJduo",shifter v outsider 光之战士,78,6,2942
5237958311675568,1764338841,2025-11-28 14:07:21+08:00,5237898580330277,interesting,0,0,0,1773636978397,https://m.weibo.cn/detail/5237958311675568,上海,0,1871902324,uhawirefoi,男,https://m.weibo.cn/u/1871902324?launchid=10000360-page_H5,"https://tvax4.sinaimg.cn/crop.0.0.896.896.180/6f92f674ly8g34iip3kv3j20ow0ow40v.jpg?KID=imgbed,tva&Expires=1773647778&ssig=%2FXZ0%2BvPVu6",慢工出烂活,594,384,1437
5237953282705031,1764337642,2025-11-28 13:47:22+08:00,5237898580330277,转发微博,0,0,0,1773636978405,https://m.weibo.cn/detail/5237953282705031,北京,0,1113436521,BlueSea0914,男,https://m.weibo.cn/u/1113436521?launchid=10000360-page_H5,"https://tvax4.sinaimg.cn/crop.0.0.1080.1080.180/425db169ly8hyb721jxedj20u00u00xa.jpg?KID=imgbed,tva&Expires=1773647778&ssig=JPdY8wW2%2FO",心向远方..CS、SPORT（Badminton，Tennis and Table Tennis）、Travel（Self-driving）、LOVE,1203,458,12302
5237950200943590,1764336907,2025-11-28 13:35:07+08:00,5237898580330277,哦豁，从开源到开盒,0,0,0,1773636986328,https://m.weibo.cn/detail/5237950200943590,广东,0,6718296161,滚滚猛豹,男,https://m.weibo.cn/u/6718296161?launchid=10000360-page_H5,"https://tvax3.sinaimg.cn/crop.0.0.439.439.180/007kFhJvly8hjk51rhj4zj30c70c7759.jpg?KID=imgbed,tva&Expires=1773647786&ssig=sNZPkzXQUq",,353,65,12794
